dataset_id,source_construct,target_construct,selected_by_method_d
4,43,22,True
4,43,23,True
4,43,32,True
4,43,35,True
4,43,37,True
4,44,15,True
4,44,20,True
4,44,23,True
4,44,27,True
4,44,28,True
4,44,31,True
4,44,32,True
4,44,35,True
4,44,37,True
4,45,19,True
4,45,21,True
4,45,22,True
4,45,33,True
4,46,11,True
4,46,15,True
4,46,17,True
4,46,18,True
4,46,20,True
4,46,26,True
4,47,27,True
4,47,29,True
4,47,45,True
4,48,15,True
4,48,18,True
4,48,21,True
4,48,27,True
4,48,46,True
4,49,12,True
4,49,15,True
4,49,24,True
4,49,31,True
4,49,37,True
4,49,42,True
4,49,44,True
4,49,47,True
4,49,48,True
